n_samples,gyro_mean_x,gyro_mean_y,gyro_mean_z,acce_mean_x,acce_mean_y,acce_mean_z,gyro_std_x,gyro_std_y,gyro_std_z,acce_std_x,acce_std_y,acce_std_z,gyro_variance_x,gyro_variance_y,gyro_variance_z,acce_variance_x,acce_variance_y,acce_variance_z,label
13,5.825605130769231,4.68308763076923,5.2034749307692305,0.7002328846153846,2.479210486923077,1.3175518638461539,3.358574627344459,3.4335429133796755,3.1998687180851046,0.12021270025393033,1.5439391073554254,1.3711591136535475,11.280023527441973,11.78921693801979,10.239159812979612,0.0144510933023413,2.3837479672214674,1.8800773149551822,circle
11,4.338575981818182,4.9436871363636365,4.8949523636363645,0.5026633454545455,3.025124227272727,0.7435191509090909,3.527418909814244,3.2909626485291787,3.2465454158980807,0.12356869042423593,1.3154723761662404,0.35962989424335995,12.442684165315109,10.830435154014186,10.540057137488843,0.015269221253160657,1.7304675724564547,0.12933366083349027,circle
11,5.265708854545455,4.783560162545455,6.343496636363636,0.5446777545454545,3.0154253254545456,1.0593484,3.461672278659365,3.3439410642516996,2.589880579362063,0.10508194002809396,1.3466928585119131,0.9244171207038618,11.98317496483872,11.18194184118879,6.707481415356776,0.011042214120067935,1.8135816551669874,0.8545470130504182,circle
12,6.494615416666665,4.747703863333333,3.2830769258333334,0.5797322583333333,2.0354410333333335,0.7498168583333333,3.2114763392489585,3.605747793642918,3.14182570516822,0.08817416494633844,1.7411181022740798,0.3367544782215783,10.313580277555891,13.001417151360771,9.871068761655785,0.007774683363984097,3.031492246066493,0.11340357860228743,circle
10,2.9063636400000004,4.849314794,3.85791616,0.47724608999999996,1.7065184899999994,0.8518067000000002,3.1684836809996577,3.4675158739073972,3.2709243860612416,0.08224682207697086,1.7502750572397994,0.32861610684277176,10.03928883676114,12.023666335799781,10.69894633933011,0.0067645397417609,3.0634627759957826,0.10798854567649999,circle
14,4.5546355,5.815914232857144,3.4583316285714285,0.6249128,2.026977521785714,0.7034911928571429,3.781368470649591,3.4290547867860983,3.356522504353865,0.07744644477349677,1.8030493362686955,0.29975624157645747,14.298747510822825,11.758416730780654,11.266243322233942,0.005997951808054285,3.250986909018983,0.08985380436404354,circle
15,6.10306768,4.861986086666667,5.420074573333333,0.6586425800000001,2.3012044919999997,0.6370280133333334,3.728203307825991,3.788982434943916,3.5654452603825213,0.1184231544599743,1.7750575932751211,0.27423936701687907,13.89949990448466,14.356387892313524,12.712399904784185,0.01402404351225093,3.1508294594436657,0.0752072304218185,circle
2,8.875174999999999,9.006153999999999,8.926853000000001,0.51257325,0.5024414,0.5812988,0.1431469999999999,0.08125900000000019,0.07244800000000051,0.015258749999999988,0.04272460000000003,0.07275390000000004,0.020491063608999976,0.0066030250810000315,0.005248712704000074,0.00023282945156249962,0.0018253914451600026,0.005293129965210005,circle
16,5.360463287499999,5.621748314374999,4.369117092500001,0.6222991875000001,0.7908782493750001,0.6419372437499999,3.639650618793567,3.6105075392217643,3.7620033851534234,0.11421814297825497,1.1872956653539917,0.2947665757493312,13.247056626884397,13.035764690777201,14.152669469905815,0.013045784185401095,1.4096709969683778,0.08688733417898621,circle
14,4.8883016928571426,4.411028925714286,5.7268731357142855,0.5365687785714286,2.9752370499999996,0.76614815,3.898284261137405,3.5947971332330475,3.349429306627017,0.100520061516191,1.477002434502296,0.3101444308016687,15.196620180631601,12.922566429100536,11.21867668009194,0.010104282767218824,2.1815361915257094,0.09618956795729107,circle
15,5.211282053333334,4.859328840000001,3.9218741466666676,0.49641926666666664,2.1280761366000003,0.7895507866666667,3.760356251693066,3.6045919377425704,3.409159271305411,0.14633592796256004,1.8137036166689267,0.3334135672652987,14.140279139647127,12.993083037638739,11.62236693712764,0.02141420381266356,3.2895208091179446,0.11116460683657185,circle
16,4.504090876875,4.5898599825,2.5830682193749994,0.53788758125,1.5846101156249999,0.77694705,3.7696505357731582,3.707290257411057,2.9046115648800876,0.14356742506673137,1.7664527623742745,0.2707260011309451,14.210265161854858,13.74400105269494,8.436768342835151,0.020611605540291525,3.1203553616997053,0.07329256768835249,circle
13,3.9279719760769236,4.075384549953847,5.428671378461538,0.462139423076923,2.952805707692307,0.8278809030769231,3.7455935636081796,3.471204821178543,3.261705348885769,0.13226791417185252,1.5145059680392854,0.3818266385148891,14.029471143743022,12.049262910573162,10.638721782950036,0.017494801119372544,2.293728327226613,0.1457915818795798,circle
14,3.246223687857143,3.9718181764285716,4.202327521428571,0.6335100499999999,1.530343241857143,0.6982422357142858,3.581790794482134,3.5927647481647336,3.315853639140966,0.07822809632225451,1.7424294937900366,0.3308142578506849,12.829225295436958,12.907958535655201,10.994885356204389,0.0061196350542039295,3.0360605408294035,0.10943807319729945,circle
11,4.514431054545455,5.519262772727273,4.888226416363637,0.615034609090909,2.0792790763636364,1.0619895363636365,3.5053901228116775,3.0773801664901104,3.1280875297812685,0.07524465374769106,1.7292698029508915,0.9400448341151784,12.287759913105669,9.4702686891067,9.784931593973079,0.005661757917609917,2.9903740513978154,0.8836842901466333,circle
16,4.4874825312499995,4.688680048125001,4.1505944,0.65582275,1.570190433125,0.623458840625,3.830554678073006,3.742354552391321,3.4455479908607045,0.09036429421499956,1.7226741349398498,0.3245967609641977,14.67314914170699,14.005217595804043,11.871800957324238,0.008165705668975003,2.96760617519076,0.1053630572284485,circle
