n_estimators,max_leaf_nodes,optimal_n_features,accuracy,estimated_memory_usage_kb
15,50,24,0.956895881895882,39.26171875
16,10,40,0.9374028749028748,8.625
16,11,36,0.9512917637917638,9.46875
16,12,20,0.9429778554778554,10.21875
16,13,25,0.9499125874125872,11.1328125
16,14,21,0.9415986790986792,11.9765625
16,15,26,0.9499320124320124,12.890625
16,16,36,0.961072261072261,13.84375
16,17,22,0.949941724941725,14.609375
16,18,27,0.9540889665889664,15.5234375
16,19,19,0.9513306138306138,16.3359375
16,20,20,0.9527292152292152,17.21875
16,21,30,0.9527000777000778,18.171875
16,22,26,0.9596736596736596,19.015625
16,23,23,0.9568764568764568,19.8671875
16,24,29,0.9568861693861692,20.7890625
16,25,18,0.954118104118104,21.578125
16,26,20,0.955487567987568,22.46875
16,27,16,0.9527097902097902,23.3125
16,28,28,0.9610431235431236,24.28125
16,29,21,0.9624514374514376,25.1015625
16,30,26,0.9610625485625486,26.015625
16,31,24,0.9540889665889664,26.875
16,32,24,0.9582944832944832,27.640625
16,33,17,0.9610625485625486,28.5703125
16,34,26,0.9569055944055944,29.515625
16,35,15,0.9540889665889664,30.3046875
16,36,25,0.9582750582750584,31.09375
16,37,21,0.961052836052836,31.6640625
16,38,24,0.9596639471639472,33.0
16,39,22,0.9569250194250196,33.3671875
16,40,25,0.9582847707847708,33.9375
16,41,21,0.9582847707847708,35.21875
16,42,27,0.9582944832944832,34.9375
16,43,36,0.9582750582750584,36.15625
16,44,35,0.9582847707847708,37.5703125
16,45,35,0.9582847707847708,38.2265625
16,46,24,0.956876456876457,38.1953125
16,47,24,0.956876456876457,39.0703125
16,48,24,0.9610722610722612,39.3984375
16,49,24,0.9610722610722612,39.2890625
16,50,24,0.9610722610722612,40.65625
17,10,24,0.936033411033411,9.01953125
17,11,25,0.9471250971250972,9.95703125
17,12,40,0.955506993006993,11.00390625
17,13,20,0.9457459207459208,11.77734375
17,14,23,0.9457556332556332,12.73046875
17,15,20,0.9513306138306138,13.63671875
17,16,25,0.9540986790986792,14.60546875
17,17,45,0.9540986790986792,15.69140625
17,18,30,0.956895881895882,16.50390625
17,19,19,0.9499222999223,17.34765625
17,20,18,0.9527292152292152,18.26953125
17,21,31,0.9582653457653458,19.30078125
17,22,24,0.9554875679875678,20.17578125
17,23,27,0.9568764568764568,21.12890625
17,24,16,0.9568861693861692,21.97265625
17,25,14,0.955506993006993,22.88671875
17,26,20,0.956876456876457,23.86328125
17,27,22,0.9596736596736596,24.80859375
17,28,28,0.9568861693861692,25.78515625
17,29,36,0.9666278166278166,26.77734375
17,30,25,0.9596542346542346,27.62109375
17,31,16,0.9582944832944832,28.48046875
17,32,23,0.9569055944055944,29.41015625
17,33,36,0.9596833721833722,30.27734375
17,34,22,0.9568667443667443,31.31640625
17,35,14,0.9596639471639472,32.18359375
17,36,25,0.956895881895882,33.19921875
17,37,32,0.9610625485625486,34.12890625
17,38,32,0.9638500388500388,35.11328125
17,39,55,0.9722027972027972,35.83984375
17,40,24,0.9610431235431236,36.85546875
17,41,20,0.9610722610722612,37.69921875
17,42,20,0.956876456876457,38.30078125
17,43,20,0.9610431235431236,39.06640625
17,44,20,0.9624320124320124,39.06640625
17,45,20,0.9624320124320124,39.23046875
17,46,20,0.9624320124320124,40.70703125
17,47,20,0.9624320124320124,41.14453125
17,48,20,0.9582653457653456,41.85546875
17,49,20,0.9582653457653456,43.76953125
17,50,20,0.9638209013209011,41.36328125
18,10,18,0.9318376068376067,9.4921875
18,11,21,0.9388014763014764,10.5
18,12,25,0.9416083916083916,11.515625
18,13,25,0.9471542346542348,12.5
18,14,17,0.9471542346542348,13.421875
18,15,22,0.9540986790986792,14.4453125
18,16,22,0.9499222999223,15.4296875
18,17,28,0.9527292152292152,16.4609375
18,18,28,0.9526903651903652,17.4453125
18,19,14,0.9527195027195028,18.3203125
18,20,20,0.9569055944055944,19.3515625
18,21,16,0.948552836052836,20.3046875
18,22,17,0.9527195027195028,21.296875
18,23,23,0.9569055944055944,22.328125
18,24,24,0.954079254079254,23.3203125
18,25,22,0.956895881895882,24.2890625
18,26,19,0.959644522144522,25.25
18,27,22,0.9568861693861695,26.2578125
18,28,27,0.9555167055167054,27.28125
18,29,24,0.9569055944055944,28.2421875
18,30,21,0.9582556332556332,29.203125
18,31,24,0.956895881895882,30.2109375
18,32,22,0.9596639471639472,31.1796875
18,33,36,0.9610819735819736,32.2734375
18,34,26,0.9596833721833722,33.1796875
18,35,22,0.9568861693861692,34.078125
18,36,20,0.9596736596736598,35.1015625
18,37,17,0.9596542346542346,36.0625
18,38,31,0.9596833721833722,37.15625
18,39,24,0.9624514374514376,37.8125
18,40,24,0.956895881895882,38.8515625
18,41,36,0.9722125097125096,38.6171875
18,42,36,0.9708236208236208,40.0390625
18,43,14,0.954118104118104,41.8359375
18,44,19,0.9527097902097902,42.6953125
18,45,19,0.956876456876457,43.0234375
18,46,19,0.956876456876457,42.53125
18,47,19,0.9540986790986792,43.0234375
18,48,14,0.9527292152292152,45.28125
18,49,14,0.9527292152292152,46.921875
18,50,14,0.954118104118104,46.7578125
19,10,21,0.9388014763014764,10.03515625
19,11,20,0.94020979020979,11.06640625
19,12,18,0.9415695415695416,12.08984375
19,13,36,0.9485431235431236,13.26953125
19,14,27,0.9471542346542348,14.23828125
19,15,17,0.9457556332556332,15.19921875
