n_estimators,max_leaf_nodes,accuracy
19,32,0.9141775294847919
19,33,0.9108876474239602
19,34,0.9186778398510242
19,35,0.9186716325263811
19,36,0.9108628181253879
19,37,0.9108814400993172
19,38,0.9142147734326505
19,39,0.9075356921166977
19,40,0.9153320918684047
19,41,0.9119428926132838
19,42,0.9164369956548727
19,43,0.9164059590316572
19,44,0.9152886405959031
19,45,0.9097392923649906
19,46,0.9030664183736808
19,47,0.906381129733085
19,48,0.9041961514587212
19,49,0.9164742396027312
19,50,0.9164742396027312
20,10,0.8841961514587213
20,11,0.9008504034761018
20,12,0.9064307883302296
20,13,0.900869025450031
20,14,0.8897020484171321
20,15,0.8952948479205463
20,16,0.9008752327746741
20,17,0.8964059590316573
20,18,0.8997392923649906
20,19,0.9052948479205462
20,20,0.9086654252017381
20,21,0.901973929236499
20,22,0.904177529484792
20,23,0.8874736188702668
20,24,0.916455617628802
20,25,0.9063935443823713
20,26,0.91756052141527
20,27,0.9197951582867784
20,28,0.9019428926132835
20,29,0.9030664183736808
20,30,0.918665425201738
20,31,0.8963749224084421
20,32,0.9153196772191186
20,33,0.9209062693978896
20,34,0.9164183736809435
20,35,0.9186530105524519
20,36,0.9119615145872129
20,37,0.9286716325263811
20,38,0.9175915580384855
20,39,0.9108628181253879
20,40,0.9153258845437616
20,41,0.9242023587833644
20,42,0.9142147734326505
20,43,0.9097454996896337
20,44,0.9097454996896337
20,45,0.9097144630664185
20,46,0.9097268777157044
20,47,0.9108504034761017
20,48,0.8997020484171323
20,49,0.9153072625698323
20,50,0.9131036623215394
21,10,0.8997454996896337
21,11,0.8986281812538796
21,12,0.894177529484792
21,13,0.8863935443823712
21,14,0.8919801365611422
21,15,0.8874984481688394
21,16,0.9030664183736808
21,17,0.8975046554934825
21,18,0.9041837368094351
21,19,0.8963687150837989
21,20,0.9030726256983239
21,21,0.9030664183736808
21,22,0.9030850403476102
21,23,0.9030477963997517
21,24,0.8986405959031657
21,25,0.9131222842954687
21,26,0.9008193668528864
21,27,0.8997144630664184
21,28,0.9153258845437616
21,29,0.9097517070142768
21,30,0.9153134698944754
21,31,0.9164432029795158
21,32,0.9008566108007449
21,33,0.9142023587833643
21,34,0.9053072625698324
21,35,0.9086716325263812
21,36,0.9008193668528864
21,37,0.9053258845437616
21,38,0.9197951582867784
21,39,0.9153445065176908
21,40,0.9164494103041589
21,41,0.910869025450031
21,42,0.9063997517070141
21,43,0.9152638112973308
21,44,0.9119615145872129
21,45,0.9108441961514586
21,46,0.906387337057728
21,47,0.906387337057728
21,48,0.9030353817504656
21,49,0.8975418994413408
21,50,0.9197703289882062
